wavelength_um,A_B0_theta_plus,A_B0_theta_minus,A_B3_theta_plus,A_B3_theta_minus,A_B6_theta_plus,A_B6_theta_minus
18.0,0.9551639303110588,0.9551639303110588,0.9765175418683462,0.963369558135527,0.9936016991374798,0.9302918308626853
18.0125,0.9660126939629954,0.9660126939629954,0.9831159435527855,0.971141637048905,0.9956557686250728,0.9214546177027809
18.025,0.9754320506446185,0.9754320506446185,0.9886652449651746,0.9766824724077298,0.997070693299535,0.9117189987937089
18.0375,0.9832621687526477,0.9832621687526477,0.9931143469194056,0.9799887435173723,0.9979179750853112,0.9019578630311644
18.05,0.9894294772524631,0.9894294772524631,0.9964189579305706,0.9810275780643721,0.9983077455529668,0.8930036269599788
18.0625,0.9938973509085152,0.9938973509085152,0.9985421147329648,0.9797638405476314,0.9983750684445785,0.8855305386573716
18.075,0.9966260271760862,0.9966260271760862,0.9994767323381881,0.9762447531188095,0.9982618525532179,0.8799784752666732
18.0875,0.9975717342374514,0.9975717342374514,0.9992763891894799,0.9706885880646904,0.9980981368249197,0.8765217864817613
18.1,0.9967286483924793,0.9967286483924792,0.9980771359756132,0.9635251725436307,0.99798648836124,0.8750801081800086
18.1125,0.9941883425621917,0.9941883425621917,0.9960998773146169,0.9553683458893603,0.9979925932984497,0.8753661062094629
18.125,0.9901822579041254,0.9901822579041254,0.9936324325376305,0.9469354499018593,0.99814333775381,0.8769585041589955
18.1375,0.9850857849446033,0.9850857849446033,0.9909969776666794,0.9389455750109874,0.9984308671957481,0.879375535140051
18.15,0.979383379561656,0.979383379561656,0.9885108721048902,0.9320252456342681,0.9988188689599367,0.8821172441056918
18.1625,0.9736086090889128,0.9736086090889128,0.9864483356585813,0.9266380199946983,0.9992478965998227,0.8846632144861601
18.175,0.9682767174011623,0.9682767174011623,0.9850090733877338,0.9230437435844423,0.9996400253699769,0.8864517857393251
18.1875,0.9638236055436159,0.9638236055436159,0.9842988533486354,0.9212883859032728,0.9999061542504133,0.8868930495047385
18.2,0.9605595632120758,0.9605595632120758,0.984325729720297,0.9212242902415214,0.9999584606146859,0.8854491900373013
18.2125,0.9586423661602035,0.9586423661602035,0.9850123895136194,0.9225572410157449,0.9997265304863072,0.8817625808613834
18.225,0.9580728497860199,0.9580728497860199,0.9862191830412684,0.9249068553400135,0.9991723247029104,0.8757692128139822
18.2375,0.9587140875811551,0.9587140875811551,0.9877667122073323,0.9278556590563269,0.9982990256876071,0.8677371628300669
18.25,0.9603293543109607,0.9603293543109607,0.989447773014764,0.9309648656262861,0.99715139106453,0.8582117987393872
18.2625,0.9626245095563382,0.9626245095563382,0.9910288957275306,0.9337600362478652,0.9958083164942929,0.8478965915835132
18.275,0.9652753506157213,0.9652753506157213,0.9922541334186832,0.9357210312323248,0.9943702525336183,0.8375198623237456
18.2875,0.9679302914792245,0.9679302914792245,0.992865502044011,0.9363165480701281,0.9929446728814348,0.8277287525674505
18.3,0.9702013921171545,0.9702013921171545,0.9926424940454592,0.9350930738280617,0.9916324876117356,0.8190281484805109
18.3125,0.9716726951088579,0.9716726951088579,0.991447926697124,0.9317855474346696,0.9905175964337788,0.8117615194238367
18.325,0.9719460879706674,0.9719460879706674,0.9892614140973555,0.9263970366023323,0.9896607961823276,0.8061199638946557
18.3375,0.9707170079908253,0.9707170079908253,0.986187723761319,0.9192101621481344,0.9890980661636141,0.8021639966361022
18.35,0.9678487591058098,0.9678487591058098,0.9824388574261619,0.9107285484973036,0.9888421683189695,0.7998456971356457
18.3625,0.9634123868113645,0.9634123868113645,0.9782979919513747,0.9015764277584999,0.9888859162048814,0.7990233289383876
18.375,0.9576769173879885,0.9576769173879885,0.9740767179754426,0.8923934121447411,0.9892055453540769,0.7994649641227495
18.3875,0.9510574306580694,0.9510574306580694,0.9700753940311609,0.8837518619487372,0.9897632161615599,0.8008425687189804
18.4,0.9440421962106728,0.9440421962106728,0.9665528781615843,0.8761081315658056,0.9905085463537253,0.8027245807050933
18.4125,0.9371209878666128,0.9371209878666128,0.9637084241136992,0.8697858635691205,0.9913799438972491,0.8045823475451838
18.425,0.9307293853534123,0.9307293853534123,0.9616755669208654,0.8649823872788437,0.992307059039256,0.8058288011227696
18.4375,0.9252150592695516,0.9252150592695516,0.9605253639675678,0.8617871779576943,0.9932154932652452,0.8058988670827892
18.45,0.9208253283449636,0.9208253283449636,0.9602748042255407,0.8602024678604911,0.9940338179598894,0.8043580805272709
18.4625,0.9177110985330332,0.9177110985330332,0.9608959911421893,0.8601587818994385,0.9947014072480778,0.8010002971048152
18.475,0.9159402208515413,0.9159402208515413,0.9623227209057337,0.8615210767807258,0.9951745605784861,0.7958886188733244
18.4875,0.9155131771347076,0.9155131771347076,0.9644528205158214,0.8640840372907979,0.9954286784064305,0.7893167213628055
18.5,0.9163754045476284,0.9163754045476284,0.9671467645346206,0.867558844141649,0.9954557585533894,0.7817065546949871
18.5125,0.9184226754513195,0.9184226754513195,0.9702255340344013,0.87155925613384,0.9952582816336273,0.7734859388880172
18.525,0.9214982906054755,0.9214982906054755,0.9734728977134336,0.8756010344150851,0.9948416646903122,0.7649915785736016
18.5375,0.9253837474413751,0.9253837474413751,0.9766479369131373,0.8791312504590549,0.9942075090161436,0.7564254777719792
18.55,0.9297884462365728,0.9297884462365728,0.9795110840781247,0.881596987907855,0.9933491996843781,0.7478689869425431
18.5625,0.9343481413931013,0.9343481413931014,0.9818609441579429,0.8825446112118515,0.9922506762328446,0.7393380227015243
18.575,0.9386435462667054,0.9386435462667054,0.9835722342922846,0.8817192977639702,0.9908887440766943,0.7308509391869223
18.5875,0.942246215358004,0.942246215358004,0.9846217000808748,0.8791254935870132,0.9892389467527486,0.7224812919092302
18.6,0.9447874434431626,0.9447874434431626,0.9850917880416379,0.8750220855664823,0.9872843458047975,0.7143802454336158
18.6125,0.9460320008684129,0.9460320008684129,0.9851499602339474,0.8698540794547286,0.9850254804290279,0.7067688835282929
18.625,0.9459310835853615,0.9459310835853615,0.9850103169449039,0.8641467879752518,0.9824888434258786,0.6999100597231297
18.6375,0.9446343865438368,0.9446343865438368,0.9848892843970756,0.8583961210072304,0.9797311821302455,0.6940713309954165
18.65,0.9424571812519147,0.9424571812519147,0.9849670088704237,0.8529814166784283,0.9768380222333566,0.689488863634797
18.6625,0.9398147938032936,0.9398147938032936,0.9853622563898533,0.8481155487093794,0.9739163485261055,0.6863392553581953
18.675,0.937145035569096,0.937145035569096,0.9861237328410777,0.8438381185536683,0.9710824546546352,0.6847222136677894
18.6875,0.9348372373898054,0.9348372373898054,0.9872366022560097,0.8400510951502971,0.9684463293995741,0.6846533372583602
18.7,0.9331792532148198,0.9331792532148198,0.9886397637896487,0.8365879354633977,0.9660940826524049,0.6860650577404055
18.7125,0.932327172753688,0.932327172753688,0.9902469809210114,0.8332961293770539,0.9640705385553676,0.6888156412155236
18.725,0.9322995346898512,0.9322995346898512,0.991964344334285,0.8301059261879716,0.9623655221946422,0.6927090441677937
18.7375,0.9329971066918031,0.9329971066918031,0.9936994167567788,0.8270630359075879,0.9609089845027291,0.6975288336723254
18.75,0.934246611678894,0.934246611678894,0.9953630394922167,0.8243194486260852,0.9595804181596105,0.7030842768641852
18.7625,0.9358594489496843,0.9358594489496843,0.996869317328109,0.8220932274618568,0.9582350809668562,0.709256865185508
18.775,0.9376875159122025,0.9376875159122025,0.9981390619666923,0.8206160905040728,0.9567427423986637,0.7160279380632744
18.7875,0.9396558268510619,0.9396558268510619,0.9991072404569719,0.8200871233291355,0.9550267168738581,0.7234717671133031
18.8,0.9417613225570833,0.9417613225570833,0.9997300032148603,0.8206460509473691,0.9530875271361884,0.7317143552351018
18.8125,0.9440442407355472,0.9440442407355472,0.9999862725619644,0.8223710569555057,0.9510009147869941,0.7408750593161565
18.825,0.9465502786935941,0.9465502786935941,0.9998733603139932,0.825294678156143,0.9488919654962596,0.7510133429995557
18.8375,0.9493008804525561,0.9493008804525561,0.9994012986128973,0.8294221739538647,0.9468980262039063,0.7620953112161682
18.85,0.9522794696197426,0.9522794696197426,0.9985911155487474,0.8347374114405575,0.9451360187791013,0.7739831528700513
18.8625,0.95543263340313,0.95543263340313,0.997477546878364,0.8411923177523881,0.9436843562014472,0.7864436858221555
18.875,0.9586812583283225,0.9586812583283225,0.9961116474334724,0.8486882500907587,0.9425810536706631,0.7991715907346085
18.8875,0.9619354691884112,0.9619354691884112,0.9945584220808079,0.8570615479832414,0.941833216626942,0.8118250322995924
18.9,0.9651072004135145,0.9651072004135145,0.9928886847568853,0.8660807410901896,0.9414310469235788,0.8240714168617873
18.9125,0.9681162962051999,0.9681162962051999,0.9911686639436614,0.8754566085101628,0.9413608813872361,0.8356368978657436
18.925,0.9708905032155059,0.9708905032155059,0.9894520813641319,0.8848638307811839,0.9416143809871664,0.8463476101363856
18.9375,0.9733639443443174,0.9733639443443174,0.9877774966114112,0.8939730250031462,0.9421930227214571,0.8561494056184015
18.95,0.9754792526708737,0.9754792526708737,0.9861707089213818,0.9024902097292321,0.9431078943022053,0.8650997007302282
18.9625,0.9771949107301197,0.9771949107301197,0.9846499940989312,0.9101960662800648,0.9443749476126089,0.8733368339206038
18.975,0.9784945062446522,0.9784945062446522,0.983231716579894,0.9169735572820386,0.9460061597790842,0.8810412521968365
18.9875,0.9793924995299719,0.9793924995299719,0.981934863190414,0.9228142261442416,0.9479978634904541,0.8884030159970581
19.0,0.9799330165732721,0.9799330165732721,0.9807841875513091,0.9278012709667041,0.950318575566242,0.8956022096229647
19.0125,0.9801821677756545,0.9801821677756545,0.9798120969082796,0.9320768928489105,0.9528994314600598,0.902799038826869
19.025,0.980217586228744,0.980217586228744,0.9790590350732962,0.9358070840082471,0.9556304436922796,0.9101253602622651
19.0375,0.9801197726756223,0.9801197726756223,0.978571446807625,0.9391560975923358,0.9583650911828204,0.9176715424149872
19.05,0.9799683731101466,0.9799683731101466,0.9783962400082696,0.9422760532350403,0.9609341354637522,0.9254690347334208
