wavelength_um,metallic_tm_R,metallic_tm_T,metallic_tm_emissivity,metallic_te_R,metallic_te_T,metallic_te_emissivity,insulating_tm_R,insulating_tm_T,insulating_tm_emissivity,insulating_te_R,insulating_te_T,insulating_te_emissivity
8.164999999999999147e+00,1.987112776579520457e-01,8.470446050502204380e-03,7.928182762915457760e-01,3.690819943034830825e-02,1.679874566502539360e-03,9.614119260031491754e-01,9.832402289309465360e-01,9.261253279974422659e-03,7.498517789079041374e-03,9.807188500851046209e-01,6.668228787876239946e-03,1.261292112701913916e-02
8.169999999999999929e+00,1.995178089879318661e-01,8.637790024794159138e-03,7.918444009872739331e-01,3.713354829599226081e-02,1.677488922258467061e-03,9.611889627817492565e-01,9.831499546590538596e-01,9.397731490114255917e-03,7.452313850831884454e-03,9.807078055109246240e-01,6.674829604528190706e-03,1.261736488454718447e-02
8.175000000000000711e+00,2.003119975967689315e-01,8.808860113618718554e-03,7.908791422896124246e-01,3.735884100994626977e-02,1.675117021822835478e-03,9.609660419682308774e-01,9.830511070313128208e-01,9.544699498522636605e-03,7.404193470164542601e-03,9.806967945917206553e-01,6.681418843997308406e-03,1.262178656428203719e-02
8.179999999999999716e+00,2.010921452471639559e-01,8.983679562673966071e-03,7.899241751901621145e-01,3.758407545712848241e-02,1.672758768578741333e-03,9.607431657742927511e-01,9.829426038822639544e-01,9.703313820163671222e-03,7.354082297572374360e-03,9.806858179269248854e-01,6.687996410136809802e-03,1.262618566293830479e-02
8.185000000000000497e+00,2.018564522430049413e-01,9.162264745711832387e-03,7.889812830112832298e-01,3.780924956741518739e-02,1.670414066783860617e-03,9.605203363658010307e-01,9.828231990799276563e-01,9.874894230075630802e-03,7.301906689996712913e-03,9.806748761059282948e-01,6.694562207688158594e-03,1.263056168638354571e-02
8.189999999999999503e+00,2.026030144196916127e-01,9.344624414023245534e-03,7.880523611662850758e-01,3.803436131480442128e-02,1.668082821560835189e-03,9.602975558636347442e-01,9.826914526946116668e-01,1.006095215904001007e-02,7.247595146348323122e-03,9.806639697082841778e-01,6.701116142266726194e-03,1.263491414944909602e-02
8.195000000000000284e+00,2.033298204017073008e-01,9.530758901281613862e-03,7.871394206970110385e-01,3.825940871659343212e-02,1.665764938887873397e-03,9.600748263445186836e-01,9.825456947478591330e-01,1.026322501107065563e-02,7.191080241070211404e-03,9.806530993038911070e-01,6.707658120348905344e-03,1.263924257575998675e-02
8.199999999999999289e+00,2.040285553723522050e-01,9.717402314248405060e-03,7.862540423133993484e-01,3.847832990187820962e-02,1.663556210173849957e-03,9.598581138879479502e-01,9.823867846079237243e-01,1.048009319059872192e-02,7.133122201477553811e-03,9.806426160129797509e-01,6.714244070864299960e-03,1.264313991615594913e-02
8.205000000000000071e+00,2.047006832724419523e-01,9.905921535250980514e-03,7.853933951923071088e-01,3.869404764941471175e-02,1.661409333277898744e-03,9.596445430173073943e-01,9.822119000149708290e-01,1.071472008417986496e-02,7.073379900849306040e-03,9.806323458148942240e-01,6.720848080264676602e-03,1.264680610484109936e-02
8.210000000000000853e+00,2.053473477535994463e-01,1.009792479171476784e-02,7.845547274546857963e-01,3.890967948375580188e-02,1.659274680476952859e-03,9.594310458357672156e-01,9.820172874348500613e-01,1.097129318051560422e-02,7.011419384634334437e-03,9.806221076934777958e-01,6.727441477716677651e-03,1.265045082880552653e-02
8.214999999999999858e+00,2.059662776125820993e-01,1.029337117077287408e-02,7.837403512166449815e-01,3.912522398584079852e-02,1.657152168244537720e-03,9.592176238459145798e-01,9.818000654258869364e-01,1.125270780522695524e-02,6.947226768886108350e-03,9.806119021553478809e-01,6.734024178890282708e-03,1.265407366576183634e-02
8.220000000000000639e+00,2.065551005392508854e-01,1.049220811440605174e-02,7.829526913463430438e-01,3.934067976929646326e-02,1.655041713795831360e-03,9.590042785169077266e-01,9.815568349775711798e-01,1.156235107533264660e-02,6.880813947096173569e-03,9.806017296988607246e-01,6.740596100166197126e-03,1.265767420097307916e-02
8.224999999999999645e+00,2.071113436139535580e-01,1.069437054240054800e-02,7.821942858436459201e-01,3.955604547982604496e-02,1.652943235079581703e-03,9.587910112850943634e-01,9.812835666239019261e-01,1.190420534410159721e-02,6.812228031996476682e-03,9.805915908142650572e-01,6.747157158625102791e-03,1.266125202710983999e-02
8.230000000000000426e+00,2.076324345114835546e-01,1.089977995620805724e-02,7.814677855323084454e-01,3.977131979461347860e-02,1.650856650770203592e-03,9.585778235546162929e-01,9.809754581891287906e-01,1.228297787286640463e-02,6.741563938004804801e-03,9.805814859838530850e-01,6.753707272038078982e-03,1.266480674410883599e-02
8.234999999999999432e+00,2.081157034950514018e-01,1.110834352939435443e-02,7.807759529755542438e-01,3.998650142173632016e-02,1.648781880259920932e-03,9.583647166980037158e-01,9.806267541917681463e-01,1.270426458942024162e-02,6.668981218811612099e-03,9.805714156820881655e-01,6.760246358856744804e-03,1.266833795905509055e-02
8.240000000000000213e+00,2.085583862867241567e-01,1.131995319141119657e-02,7.801216605218646016e-01,4.020158909959263560e-02,1.646718843650994473e-03,9.581516920567564322e-01,9.802305147512558881e-01,1.317475853606108957e-02,6.594726712683022379e-03,9.805613803757652347e-01,6.766774338203770250e-03,1.267184528603099505e-02
8.244999999999999218e+00,2.089576279030173345e-01,1.153448471255151368e-02,7.795078873844312195e-01,4.041658159633534919e-02,1.644667461748125893e-03,9.579387509419166058e-01,9.797783173649017296e-01,1.370251745643491503e-02,6.519165178663355320e-03,9.805513805241311553e-01,6.773291129864082889e-03,1.267532834600476263e-02
8.250000000000000000e+00,2.093104875450508551e-01,1.175179679910969867e-02,7.789377156558394688e-01,4.063147770932140634e-02,1.642627656050902859e-03,9.577258946346276502e-01,9.792598685499547262e-01,1.429731042503808516e-02,6.442821025007188646e-03,9.805414165790296011e-01,6.779796654276109245e-03,1.267878676669428883e-02
8.255000000000000782e+00,2.096139446325202271e-01,1.197173020900261370e-02,7.784143251584770828e-01,4.084627626456798638e-02,1.640599348746307404e-03,9.575131243866857877e-01,9.786624931605493183e-01,1.497107125528551221e-02,6.366435584165169512e-03,9.805314889850113014e-01,6.786290832523292869e-03,1.268222018246540489e-02
