lambda_um,pol,theta_deg,phi_deg,harmonics,R,T,A,R_reverse,T_reverse,A_reverse,emissivity_same_channel,emissivity_reverse_channel,eta,conservation,reverse_conservation
15.4,TE,8.0,0.0,121,0.9864125579553996,0.0,0.013587442044600384,0.9810997645635376,0.0,0.018900235436462354,0.018900235436462354,0.013587442044600384,0.00531279339186197,1.0,1.0
15.401933333333334,TE,8.0,0.0,121,0.9863057557857121,0.0,0.013694244214287887,0.980883788599509,0.0,0.019116211400491023,0.019116211400491023,0.013694244214287887,0.005421967186203136,1.0,1.0
15.403866666666667,TE,8.0,0.0,121,0.986196294594653,0.0,0.013803705405347033,0.9806562357647524,0.0,0.01934376423524764,0.01934376423524764,0.013803705405347033,0.005540058829900607,1.0,1.0
15.405800000000001,TE,8.0,0.0,121,0.9860840938779358,0.0,0.01391590612206417,0.9804165608775601,0.0,0.019583439122439872,0.019583439122439872,0.01391590612206417,0.005667533000375702,1.0,1.0
15.407733333333333,TE,8.0,0.0,121,0.9859690698279338,0.0,0.014030930172066247,0.9801641791721802,0.0,0.01983582082781976,0.01983582082781976,0.014030930172066247,0.005804890655753514,1.0,1.0
15.409666666666666,TE,8.0,0.0,121,0.9858511351736048,0.0,0.014148864826395213,0.9798984631118293,0.0,0.020101536888170735,0.020101536888170735,0.014148864826395213,0.005952672061775521,1.0,1.0
15.4116,TE,8.0,0.0,121,0.9857301990111426,0.0,0.01426980098885744,0.9796187388874433,0.0,0.02038126111255667,0.02038126111255667,0.01426980098885744,0.0061114601236992305,1.0,1.0
15.413533333333334,TE,8.0,0.0,121,0.9856061666247783,0.0,0.01439383337522171,0.9793242825671069,0.0,0.020675717432893093,0.020675717432893093,0.01439383337522171,0.006281884057671383,1.0,1.0
15.415466666666667,TE,8.0,0.0,121,0.9854789392969924,0.0,0.014521060703007627,0.979014315856304,0.0,0.02098568414369595,0.02098568414369595,0.014521060703007627,0.006464623440688322,1.0,1.0
15.4174,TE,8.0,0.0,121,0.98534841410759,0.0,0.014651585892410002,0.9786880014244572,0.0,0.02131199857554278,0.02131199857554278,0.014651585892410002,0.006660412683132777,1.0,1.0
15.419333333333334,TE,8.0,0.0,121,0.9852144837206636,0.0,0.014785516279336441,0.9783444377467355,0.0,0.021655562253264482,0.021655562253264482,0.014785516279336441,0.006870045973928041,1.0,1.0
15.421266666666668,TE,8.0,0.0,121,0.985077036158801,0.0,0.014922963841198955,0.9779826534038915,0.0,0.022017346596108545,0.022017346596108545,0.014922963841198955,0.0070943827549095895,1.0,1.0
15.4232,TE,8.0,0.0,121,0.9849359545635519,0.0,0.015064045436448126,0.9776016007747995,0.0,0.022398399225200483,0.022398399225200483,0.015064045436448126,0.007334353788752357,1.0,1.0
15.425133333333333,TE,8.0,0.0,121,0.9847911169412248,0.0,0.015208883058775213,0.9772001490474942,0.0,0.022799850952505807,0.022799850952505807,0.015208883058775213,0.0075909678937305936,1.0,1.0
15.427066666666667,TE,8.0,0.0,121,0.984642395892976,0.0,0.015357604107024025,0.976777076464264,0.0,0.023222923535735962,0.023222923535735962,0.015357604107024025,0.007865319428711937,1.0,1.0
15.429,TE,8.0,0.0,121,0.9844896583280903,0.0,0.015510341671909678,0.9763310617043812,0.0,0.02366893829561878,0.02366893829561878,0.015510341671909678,0.008158596623709102,1.0,1.0
15.430933333333334,TE,8.0,0.0,121,0.9843327651592181,0.0,0.01566723484078192,0.9758606742941596,0.0,0.02413932570584043,0.02413932570584043,0.01566723484078192,0.008472090865058512,1.0,1.0
15.432866666666667,TE,8.0,0.0,121,0.9841715709783224,0.0,0.01582842902167758,0.9753643639182238,0.0,0.024635636081776213,0.024635636081776213,0.01582842902167758,0.008807207060098632,1.0,1.0
15.434800000000001,TE,8.0,0.0,121,0.984005923711826,0.0,0.015994076288173953,0.9748404484869058,0.0,0.025159551513094236,0.025159551513094236,0.015994076288173953,0.009165475224920283,1.0,1.0
15.436733333333335,TE,8.0,0.0,121,0.9838356642535493,0.0,0.01616433574645071,0.9742871007933487,0.0,0.02571289920665132,0.02571289920665132,0.01616433574645071,0.00954856346020061,1.0,1.0
15.438666666666666,TE,8.0,0.0,121,0.9836606260737195,0.0,0.016339373926280487,0.973702333568267,0.0,0.026297666431733036,0.026297666431733036,0.016339373926280487,0.009958292505452548,1.0,1.0
15.4406,TE,8.0,0.0,121,0.983480634802206,0.0,0.016519365197793956,0.9730839827104871,0.0,0.026916017289512872,0.026916017289512872,0.016519365197793956,0.010396652091718916,1.0,1.0
15.442533333333333,TE,8.0,0.0,121,0.9832955077842197,0.0,0.016704492215780298,0.9724296884372997,0.0,0.02757031156270029,0.02757031156270029,0.016704492215780298,0.010865819346919992,1.0,1.0
15.444466666666667,TE,8.0,0.0,121,0.983105053606106,0.0,0.016894946393893995,0.9717368740563214,0.0,0.028263125943678635,0.028263125943678635,0.016894946393893995,0.01136817954978464,1.0,1.0
15.4464,TE,8.0,0.0,121,0.9829090715891394,0.0,0.017090928410860573,0.9710027220138219,0.0,0.028997277986178127,0.028997277986178127,0.017090928410860573,0.011906349575317554,1.0,1.0
15.448333333333334,TE,8.0,0.0,121,0.9827073512487674,0.0,0.017292648751232598,0.9702241468161754,0.0,0.029775853183824585,0.029775853183824585,0.017292648751232598,0.012483204432591988,1.0,1.0
15.450266666666668,TE,8.0,0.0,121,0.9824996717164866,0.0,0.017500328283513444,0.969397764353938,0.0,0.030602235646062015,0.030602235646062015,0.017500328283513444,0.01310190736254857,1.0,1.0
15.4522,TE,8.0,0.0,121,0.982285801121576,0.0,0.01771419887842396,0.9685198570778292,0.0,0.03148014292217083,0.03148014292217083,0.01771419887842396,0.01376594404374687,1.0,1.0
15.454133333333333,TE,8.0,0.0,121,0.9820654959292708,0.0,0.017934504070729163,0.9675863343796542,0.0,0.032413665620345755,0.032413665620345755,0.017934504070729163,0.014479161549616593,1.0,1.0
15.456066666666667,TE,8.0,0.0,121,0.9818385002319914,0.0,0.018161499768008627,0.9665926874174424,0.0,0.03340731258255758,0.03340731258255758,0.018161499768008627,0.015245812814548954,1.0,1.0
15.458,TE,8.0,0.0,121,0.9816045449896863,0.0,0.0183954550103137,0.9655339374867213,0.0,0.03446606251327866,0.03446606251327866,0.0183954550103137,0.016070607502964962,1.0,1.0
15.459933333333334,TE,8.0,0.0,121,0.9813633472151959,0.0,0.018636652784804086,0.964404576875598,0.0,0.035595423124402004,0.035595423124402004,0.018636652784804086,0.016958770339597917,1.0,1.0
15.461866666666667,TE,8.0,0.0,121,0.9811146090999145,0.0,0.018885390900085453,0.9631985009429388,0.0,0.036801499057061204,0.036801499057061204,0.018885390900085453,0.017916108156975752,1.0,1.0
15.4638,TE,8.0,0.0,121,0.9808580170748372,0.0,0.01914198292516278,0.9619089299198842,0.0,0.03809107008011581,0.03809107008011581,0.01914198292516278,0.018949087154953026,1.0,1.0
15.465733333333334,TE,8.0,0.0,121,0.9805932408013911,0.0,0.019406759198608903,0.9605283186444947,0.0,0.03947168135550527,0.03947168135550527,0.019406759198608903,0.02006492215689637,1.0,1.0
15.467666666666666,TE,8.0,0.0,121,0.9803199320860511,0.0,0.01968006791394894,0.9590482520867314,0.0,0.04095174791326861,0.04095174791326861,0.01968006791394894,0.02127167999931967,1.0,1.0
15.4696,TE,8.0,0.0,121,0.9800377237121404,0.0,0.019962276287859626,0.9574593240915099,0.0,0.04254067590849009,0.04254067590849009,0.019962276287859626,0.022578399620630463,1.0,1.0
15.471533333333333,TE,8.0,0.0,121,0.9797462281814067,0.0,0.020253771818593336,0.955750996240557,0.0,0.04424900375944296,0.04424900375944296,0.020253771818593336,0.023995231940849626,1.0,1.0
15.473466666666667,TE,8.0,0.0,121,0.9794450363575307,0.0,0.020554963642469337,0.9539114330899325,0.0,0.04608856691006746,0.04608856691006746,0.020554963642469337,0.025533603267598126,1.0,1.0
15.4754,TE,8.0,0.0,121,0.9791337160025486,0.0,0.020866283997451385,0.9519273092442391,0.0,0.04807269075576093,0.04807269075576093,0.020866283997451385,0.027206406758309543,1.0,1.0
15.477333333333334,TE,8.0,0.0,121,0.9788118101966962,0.0,0.021188189803303836,0.9497835827497809,0.0,0.05021641725021908,0.05021641725021908,0.021188189803303836,0.029028227446915245,1.0,1.0
