lambda_um,pol,theta_deg,phi_deg,harmonics,R,T,A,R_reverse,T_reverse,A_reverse,emissivity_same_channel,emissivity_reverse_channel,eta,conservation,reverse_conservation
15.4,LCP,8.0,0.0,121,0.6594208311488021,-1.1102230246251565e-16,0.340579168851198,0.5018767536823239,0.0,0.4981232463176761,0.49812324631767496,0.3405791688511983,0.15754407746647697,1.0,1.0
15.4029,LCP,8.0,0.0,121,0.691492167617398,-1.1102230246251565e-16,0.30850783238260215,0.5170478162919283,0.0,0.48295218370807175,0.4829521837080714,0.30850783238260393,0.17444435132546926,1.0,1.0
15.405800000000001,LCP,8.0,0.0,121,0.7215609180489234,-1.1102230246251565e-16,0.27843908195107664,0.5378546275591505,0.0,0.4621453724408495,0.46214537244084963,0.27843908195107786,0.183706290489773,1.0,1.0
15.4087,LCP,8.0,0.0,121,0.7491247922562244,0.0,0.2508752077437756,0.562795851989172,0.0,0.437204148010828,0.4372041480108251,0.25087520774377836,0.1863289402670495,1.0,1.0
15.4116,LCP,8.0,0.0,121,0.7739985756471246,0.0,0.2260014243528754,0.5903094301942862,-2.220446049250313e-16,0.409690569805714,0.40969056980570895,0.22600142435287504,0.18368914545283355,1.0,1.0
15.4145,LCP,8.0,0.0,121,0.7962061598737471,0.0,0.20379384012625296,0.6189703249560247,-1.1102230246251565e-16,0.3810296750439754,0.3810296750439728,0.20379384012625287,0.17723583491771983,1.0,1.0
15.4174,LCP,8.0,0.0,121,0.8158954518682775,0.0,0.18410454813172245,0.6476095315089806,1.1102230246251565e-16,0.35239046849101935,0.35239046849101596,0.18410454813172217,0.16828592035929352,1.0,1.0
15.420300000000001,LCP,8.0,0.0,121,0.8332780120829251,0.0,0.16672198791707488,0.675356093906481,0.0,0.324643906093519,0.32464390609351823,0.16672198791707635,0.15792191817644335,1.0,1.0
15.4232,LCP,8.0,0.0,121,0.8485895510575567,0.0,0.15141044894244332,0.7016230714029273,-1.1102230246251565e-16,0.29837692859707277,0.29837692859707216,0.15141044894244296,0.14696647965462883,1.0,1.0
15.4261,LCP,8.0,0.0,121,0.8620659309694401,0.0,0.13793406903056,0.7260626729443802,0.0,0.27393732705561974,0.27393732705562046,0.13793406903055877,0.13600325802506047,1.0,1.0
15.429,LCP,8.0,0.0,121,0.8739297959977508,0.0,0.1260702040022492,0.7485109774097319,-1.1102230246251565e-16,0.2514890225902681,0.25148902259027034,0.12607020400224883,0.12541881858802115,1.0,1.0
