lambda_um,pol,theta_deg,phi_deg,harmonics,R,T,A,R_reverse,T_reverse,A_reverse,emissivity_same_channel,emissivity_reverse_channel,eta,conservation,reverse_conservation
15.4,RCP,8.0,0.0,121,0.6594208311488015,0.0,0.34057916885119854,0.5018767536823228,1.1102230246251565e-16,0.4981232463176771,0.4981232463176783,0.3405791688511982,0.15754407746647975,1.0,1.0
15.4029,RCP,8.0,0.0,121,0.691492167617397,1.1102230246251565e-16,0.30850783238260293,0.5170478162919292,0.0,0.48295218370807086,0.4829521837080712,0.30850783238260115,0.17444435132546826,1.0,1.0
15.405800000000001,RCP,8.0,0.0,121,0.7215609180489223,1.1102230246251565e-16,0.27843908195107764,0.5378546275591508,-1.1102230246251565e-16,0.4621453724408493,0.4621453724408492,0.2784390819510764,0.18370629048977155,1.0,1.0
15.4087,RCP,8.0,0.0,121,0.7491247922562227,0.0,0.25087520774377725,0.5627958519891729,0.0,0.43720414801082713,0.4372041480108301,0.2508752077437745,0.18632894026705282,1.0,1.0
15.4116,RCP,8.0,0.0,121,0.773998575647125,-2.220446049250313e-16,0.22600142435287518,0.5903094301942893,0.0,0.4096905698057108,0.40969056980571583,0.22600142435287554,0.18368914545284065,1.0,1.0
15.4145,RCP,8.0,0.0,121,0.7962061598737477,-1.1102230246251565e-16,0.2037938401262524,0.6189703249560264,1.1102230246251565e-16,0.3810296750439735,0.3810296750439761,0.20379384012625248,0.1772358349177237,1.0,1.0
15.4174,RCP,8.0,0.0,121,0.8158954518682779,0.0,0.184104548131722,0.6476095315089818,0.0,0.3523904684910181,0.3523904684910215,0.18410454813172228,0.1682859203592995,1.0,1.0
15.420300000000001,RCP,8.0,0.0,121,0.833278012082924,-2.220446049250313e-16,0.1667219879170762,0.6753560939064818,0.0,0.32464390609351823,0.324643906093519,0.16672198791707474,0.1579219181764428,1.0,1.0
15.4232,RCP,8.0,0.0,121,0.8485895510575568,1.1102230246251565e-16,0.151410448942443,0.7016230714029273,0.0,0.29837692859707265,0.29837692859707327,0.15141044894244335,0.14696647965463028,1.0,1.0
15.4261,RCP,8.0,0.0,121,0.8620659309694414,0.0,0.13793406903055855,0.7260626729443808,1.1102230246251565e-16,0.2739373270556192,0.27393732705561846,0.13793406903055977,0.13600325802505991,1.0,1.0
15.429,RCP,8.0,0.0,121,0.8739297959977512,0.0,0.1260702040022488,0.7485109774097323,0.0,0.2514890225902677,0.25148902259026545,0.12607020400224916,0.12541881858801665,1.0,1.0
15.4319,RCP,8.0,0.0,121,0.8843840580314073,0.0,0.11561594196859273,0.7689350475040675,-1.1102230246251565e-16,0.23106495249593262,0.2310649524959306,0.11561594196859305,0.11544901052733786,1.0,1.0
15.434800000000001,RCP,8.0,0.0,121,0.8936095704184692,0.0,0.1063904295815308,0.7873885782120718,0.0,0.21261142178792825,0.21261142178792383,0.10639042958153125,0.10622099220639303,1.0,1.0
15.4377,RCP,8.0,0.0,121,0.9017652137921839,-1.1102230246251565e-16,0.09823478620781619,0.8039777602871354,-1.1102230246251565e-16,0.19602223971286467,0.19602223971286833,0.09823478620781428,0.09778745350505215,1.0,1.0
15.4406,RCP,8.0,0.0,121,0.9089892639357,1.1102230246251565e-16,0.0910107360642999,0.8188366337274111,-1.1102230246251565e-16,0.181163366272589,0.1811633662725857,0.09101073606429996,0.0901526302082858,1.0,1.0
15.4435,RCP,8.0,0.0,121,0.9154013508988448,-1.1102230246251565e-16,0.08459864910115532,0.8321102252877985,0.0,0.16788977471220146,0.1678897747122003,0.08459864910115503,0.08329112561104497,1.0,1.0
15.4464,RCP,8.0,0.0,121,0.9211046045817559,0.0,0.07889539541824409,0.8439435951713861,-2.220446049250313e-16,0.1560564048286141,0.15605640482861535,0.07889539541824389,0.07716100941037127,1.0,1.0
15.449300000000001,RCP,8.0,0.0,121,0.9261877620619243,-1.1102230246251565e-16,0.0738122379380758,0.8544751284052603,0.0,0.14552487159473967,0.14552487159473815,0.07381223793807637,0.07171263365666235,1.0,1.0
15.4522,RCP,8.0,0.0,121,0.9307271219558718,-1.1102230246251565e-16,0.06927287804412831,0.8638327421496133,-2.220446049250313e-16,0.13616725785038694,0.13616725785038686,0.06927287804412777,0.06689437980625855,1.0,1.0
15.4551,RCP,8.0,0.0,121,0.9347882962682439,-1.1102230246251565e-16,0.06521170373175625,0.8721320146519029,0.0,0.12786798534809704,0.12786798534809565,0.06521170373175689,0.0626562816163394,1.0,1.0
15.458,RCP,8.0,0.0,121,0.9384277472994306,0.0,0.06157225270056948,0.8794755236448903,-1.1102230246251565e-16,0.12052447635510977,0.12052447635510838,0.06157225270056889,0.0589522236545389,1.0,1.0
15.4609,RCP,8.0,0.0,121,0.9416941171806714,-1.1102230246251565e-16,0.05830588281932865,0.8859528998107438,0.0,0.11404710018925629,0.11404710018925546,0.05830588281932923,0.05574121736992681,1.0,1.0
