wavelength_um,R,T,A,R_plus_T_plus_A
1.006499999999999950e+00,8.955248051123334552e-01,6.157024145901395169e-05,1.044136246462075285e-01,1.000000000000000000e+00
1.006750000000000034e+00,8.953621986612003703e-01,6.146812337976675922e-05,1.045763332154198699e-01,1.000000000000000000e+00
1.006999999999999895e+00,8.951947125441090947e-01,6.136599691982331042e-05,1.047439214589710871e-01,1.000000000000000000e+00
1.007249999999999979e+00,8.950223495639728633e-01,6.126386146943661119e-05,1.049163865745576935e-01,1.000000000000000000e+00
1.007500000000000062e+00,8.948451113715358840e-01,6.116171641744872736e-05,1.050937269120466727e-01,1.000000000000000000e+00
1.007749999999999924e+00,8.946629984856189211e-01,6.105956115203877582e-05,1.052759419532290353e-01,1.000000000000000000e+00
1.008000000000000007e+00,8.944760103123641226e-01,6.095739506144555198e-05,1.054630322925744351e-01,1.000000000000000000e+00
1.008250000000000091e+00,8.942841451642875583e-01,6.085521753469532087e-05,1.056549996181777445e-01,1.000000000000000000e+00
1.008499999999999952e+00,8.940874002783312235e-01,6.075302796230082255e-05,1.058518466937064806e-01,1.000000000000000000e+00
1.008750000000000036e+00,8.938857718333388380e-01,6.065082573696573931e-05,1.060535773409242016e-01,1.000000000000000000e+00
1.008999999999999897e+00,8.936792549670496966e-01,6.054861025427447858e-05,1.062601964226960322e-01,1.000000000000000000e+00
1.009249999999999980e+00,8.934678437922974892e-01,6.044638091338302662e-05,1.064717098267891210e-01,1.000000000000000000e+00
1.009500000000000064e+00,8.932515314128320894e-01,6.034413711770360858e-05,1.066881244500502007e-01,1.000000000000000000e+00
1.009749999999999925e+00,8.930303099383786192e-01,6.024187827559123246e-05,1.069094481833457871e-01,1.000000000000000000e+00
1.010000000000000009e+00,8.928041704993874284e-01,6.013960380103229299e-05,1.071356898968115340e-01,1.000000000000000000e+00
1.010250000000000092e+00,8.925731032610360050e-01,6.003731311433615711e-05,1.073668594258496561e-01,1.000000000000000000e+00
