wavelength_um,R_TE_with_mos2,T_TE_with_mos2,A_TE_with_mos2,R_TE_without_mos2,T_TE_without_mos2,A_TE_without_mos2,R_TM_with_mos2,T_TM_with_mos2,A_TM_with_mos2,R_TM_without_mos2,T_TM_without_mos2,A_TM_without_mos2
0.4,0.22993046686668772,0.6094822286814164,0.16058730445189584,0.16635490327952318,0.8336450967204505,2.631228568361621e-14,0.4368033456162658,0.5247960557029585,0.03840059868077561,0.43094480199012825,0.5690551980098777,-5.995204332975845e-15
0.4004004004004004,0.2180645396727695,0.612560908862992,0.16937455146423852,0.1423311481148685,0.8576688518851352,-3.6637359812630166e-15,0.4366743051867573,0.5229646294817573,0.040361065331485424,0.4316924458630509,0.5683075541369452,3.885780586188048e-15
0.4008008008008008,0.21210277467790026,0.613141038780125,0.17475618654197467,0.1299216237452122,0.8700783762548683,-8.049116928532385e-14,0.43577860268689017,0.5222733367401377,0.04194806057297218,0.43147088863517064,0.568529111364828,1.4432899320127035e-15
0.40120120120120123,0.2074994014518823,0.6130785159321502,0.17942208261596748,0.1201473819248581,0.8798526180751063,3.5638159090467525e-14,0.4346954390292663,0.5217942557754934,0.04351030519524024,0.4310471617322148,0.5689528382677856,-4.440892098500626e-16
0.40160160160160163,0.20382856133330404,0.612557435575571,0.18361400309112497,0.11226312676756343,0.88773687323248,-4.340972026284362e-14,0.4334839557289776,0.5214356478389977,0.04508039643202477,0.43049725315685783,0.5695027468431446,-2.4424906541753444e-15
0.40200200200200203,0.20093153686838316,0.611651424899302,0.18741703823231481,0.10604526898916125,0.8939547310109174,-7.860379014346108e-14,0.43216801390048937,0.5211607730370583,0.046671213062452366,0.42985130277019923,0.5701486972298022,-1.4432899320127035e-15
0.40240240240240244,0.19872865945430107,0.6104011872227659,0.190870153322933,0.1014189504120028,0.898581049588006,-8.770761894538737e-15,0.43076024428314785,0.520950055483435,0.048289700233417165,0.42912503636349897,0.5708749636365016,-5.551115123125783e-16
0.40280280280280284,0.19717012068559903,0.6088347745840451,0.19399510473035586,0.09835942472632296,0.9016405752736362,4.085620730620576e-14,0.4292683152214895,0.5207913425525144,0.04994034222599608,0.4283278795766329,0.5716721204233679,-7.771561172376096e-16
0.40320320320320324,0.1962167990107851,0.6069752446053462,0.19680795638386872,0.09685312120343043,0.9031468787965444,2.5091040356528538e-14,0.42769726422930643,0.5206763126443951,0.051626423126298504,0.4274659527691743,0.5725340472308259,-2.220446049250313e-16
0.40360360360360364,0.19582986267360816,0.6048443315756447,0.1993258057507472,0.09687780249760612,0.9031221975023173,7.66053886991358e-14,0.4260505440456147,0.5205988665793492,0.05335058937503612,0.4265434086745021,0.5734565913254975,3.3306690738754696e-16
0.40400400400400405,0.1959616694297911,0.602464823946206,0.20157350662400286,0.09838962219700273,0.9016103778030902,-9.29256671611256e-14,0.4243305415136033,0.5205543177514989,0.05511514073489787,0.42556309885950433,0.5744369011404956,1.1102230246251565e-16
0.40440440440440445,0.19654098037324108,0.5998632675745958,0.20359575205216307,0.10131017200721631,0.8986898279926964,8.737455203799982e-14,0.42253883762044037,0.5205389598518159,0.056922202527743715,0.42452691870386716,0.5754730812961327,1.1102230246251565e-16
0.40480480480480485,0.1974333880306659,0.5970760922448508,0.2054905197244833,0.10550069334002912,0.894499306660074,-1.0313971898767704e-13,0.4206763120915696,0.5205498423494384,0.05877384555899212,0.4234359695754908,0.5765640304245067,2.55351295663786e-15
0.40520520520520525,0.1982826334803528,0.5941732229160286,0.2075441436036186,0.11066556440624332,0.8893344355936957,6.09512440519211e-14,0.4187431244719223,0.5205846851219246,0.060672190406153126,0.4222905894632689,0.577709410536733,-1.887379141862766e-15
0.4056056056056056,0.1973272309951165,0.5914297811126947,0.21124298789218876,0.11565252105719914,0.8843474789429993,-1.9839685450051547e-13,0.41673855754328604,0.5206419165702152,0.06261952588649877,0.4210902530743538,0.5789097469256488,-2.6645352591003757e-15
0.406006006006006,0.2815454210538013,0.572393329189917,0.14606124975628165,0.1939081707933347,0.8060918292065942,7.116529587847253e-14,0.4146606564233878,0.5207208632100909,0.06461848036652129,0.4198332929041003,0.5801667070958993,3.3306690738754696e-16
0.4064064064064064,0.2150798057951906,0.5827044014350479,0.20221579276976154,0.14033425514290523,0.8596657448573247,-2.299271883998699e-13,0.4125055033379731,0.5208221808987352,0.06667231576329169,0.41851631077463924,0.5814836892253625,-1.7763568394002505e-15
0.4068068068068068,0.21592308199664556,0.5795056087724771,0.2045713092308773,0.14831671702941157,0.851683282970667,-7.849276784099857e-14,0.4102657607275013,0.5209487442496434,0.06878549502285525,0.4171329685399011,0.5828670314600981,7.771561172376096e-16
0.4072072072072072,0.21877522056225243,0.5759483476720176,0.20527643176572996,0.1580841388981467,0.8419158611017457,1.0769163338864018e-13,0.4079275910996071,0.5211075194010044,0.0709648894993885,0.41567138152778593,0.5843286184722155,-1.4432899320127035e-15
0.4076076076076076,0.2223296742815887,0.572259162546435,0.20541116317197627,0.16861991960387213,0.8313800803960852,4.263256414560601e-14,0.4054635683582655,0.5213138054843045,0.07322262615743003,0.41410797360295715,0.5858920263970496,-6.772360450213455e-15
0.408008008008008,0.2262749989901815,0.5685022435590665,0.2052227574507519,0.17960020169354424,0.8203997983063662,8.948397578478762e-14,0.4028142966080037,0.5216019907098359,0.07558371268216035,0.4123909838806423,0.5876090161193551,2.55351295663786e-15
0.4084084084084084,0.23047646715700823,0.5647126909962895,0.20481084184670229,0.19082923154473963,0.8091707684554434,-1.8307577676068831e-13,0.39983220009824016,0.5220575323091493,0.07811026759261053,0.41038724302740764,0.5896127569725903,2.1094237467877974e-15
0.4088088088088088,0.23485212843853878,0.5609162847824916,0.2042315867789697,0.20215736479040575,0.7978426352096162,-2.19824158875781e-14,0.39606483451921365,0.5229355954296462,0.08099957005114011,0.40765627966354634,0.5923437203364494,4.218847493575595e-15
0.4092092092092092,0.23934134081534875,0.5571344328906395,0.2035242262940118,0.21346118534962272,0.7865388146503259,5.140332604014475e-14,0.3896293397223225,0.5252361501921409,0.08513451008553663,0.4019753882531094,0.59802461174691,-1.942890293094024e-14
0.4096096096096096,0.24389440551390962,0.5533857924194638,0.20271980206662654,0.2246371111491982,0.7753628888508175,-1.5765166949677223e-14,0.3754438872678195,0.5308565545148112,0.0936995582173693,0.38150329448151865,0.6184967055185074,-2.609024107869118e-14
0.41001001001001003,0.24846860007580848,0.5496869104915221,0.20184448943266942,0.23559866870061955,0.7644013312994679,-8.737455203799982e-14,0.3865196426630922,0.5227182157503408,0.09076214158656704,0.40031674757483204,0.5996832524251675,4.440892098500626e-16
0.41041041041041043,0.25302652498904177,0.5460525310893871,0.20092094392157112,0.24627482242143536,0.7537251775786682,-1.035838081975271e-13,0.38899862314194866,0.5204449632647349,0.09055641359331645,0.40324317773549645,0.5967568222644964,7.105427357601002e-15
0.41081081081081083,0.2575353857887318,0.5424957817975089,0.1999688324137593,0.2566085665551268,0.7433914334449833,-1.1002310174035301e-13,0.38726079085680365,0.5201749403227834,0.09256426882041291,0.4022631297065593,0.5977368702934266,1.4099832412739488e-14
0.41121121121121124,0.2619666766606257,0.5390283192284638,0.1990050041109105,0.26655554495706807,0.7334444550429551,-2.3092638912203256e-14,0.3848394208064566,0.5201388901874472,0.0950216890060962,0.40067882942625643,0.5993211705737383,5.218048215738236e-15
0.41161161161161164,0.26629603580173233,0.535660462479548,0.19804350171871965,0.27608265290595324,0.7239173470941493,-1.0258460747536446e-13,0.3822465619535014,0.5201212576928768,0.09763218035362187,0.39891687491238725,0.6010831250876058,6.994405055138486e-15
0.41201201201201204,0.27050316471478303,0.5324013234140981,0.19709551187111884,0.2851666388729916,0.71483336112703,-2.1649348980190553e-14,0.37959585560781806,0.5200854765411926,0.10031866785098931,0.39707073315608604,0.6029292668439086,5.329070518200751e-15
0.41241241241241244,0.27457175631630537,0.5292589330330366,0.196169310650658,0.29379274105199726,0.7062072589479945,8.215650382226158e-15,0.376922772900026,0.5200260025812563,0.10305122451871773,0.39516790160399135,0.6048320983960155,-6.772360450213455e-15
0.41281281281281285,0.27848940070479833,0.5262403584296709,0.1952702408655308,0.30195339221772216,0.6980466077823624,-8.459899447643693e-14,0.3742423712206757,0.5199447134629468,0.10581291531637749,0.3932179911448207,0.6067820088551757,3.552713678800501e-15
0.41321321321321325,0.2822474487610504,0.5233518025334728,0.19440074870547674,0.30964701873883677,0.6903529812611855,-2.220446049250313e-14,0.37156321406985293,0.5198460540919437,0.10859073183820334,0.39122470949181737,0.6087752905081824,3.3306690738754696e-16
0.41361361361361365,0.28584081961218943,0.5205986782339018,0.19356050215390874,0.31687695044978037,0.6831230495502627,-4.3076653355456074e-14,0.3688913467507433,0.5197359282947521,0.11137272495450456,0.3891895423533225,0.6108104576466798,-2.3314683517128287e-15
0.41401401401401405,0.28926774186534393,0.5179856493672846,0.19274660876737137,0.3236504496712479,0.6763495503288006,-4.851674617611934e-14,0.3662314864223687,0.5196214427473842,0.11414707083024711,0.38711305966251763,0.6128869403374789,3.4416913763379853e-15
0.41441441441441446,0.29252942230878604,0.5155166334802312,0.19195394421098277,0.32997786083267894,0.6700221391672116,1.0946799022804043e-13,0.363587308794558,0.5195108152053689,0.11690187600007307,0.3849954298183915,0.6150045701816073,1.2212453270876722e-15
