lambda_um,pol,theta_deg,phi_deg,harmonics,R,T,A,R_reverse,T_reverse,A_reverse,emissivity_same_channel,emissivity_reverse_channel,eta,conservation,reverse_conservation
15.0,TE,55.0,65.0,61,0.9706869208739962,4.3711367858634276e-11,0.029313079082292415,0.9723360065964938,4.314404389305082e-11,0.027663993360362182,0.02766399336034886,0.029313079082282978,0.001649085721943555,1.0,1.0
15.001,TE,55.0,65.0,61,0.9706427991847868,4.374722806232967e-11,0.029357200771465974,0.9723036719480246,4.317657342767234e-11,0.027696328008798843,0.02769632800878019,0.029357200771452985,0.0016608727626857833,1.0,1.0
15.002,TE,55.0,65.0,61,0.9705984837160393,4.378308826602506e-11,0.029401516240177616,0.9722712497308161,4.320899193999139e-11,0.027728750225974874,0.027728750225978205,0.029401516240179282,0.0016727660141994116,1.0,1.0
15.003,TE,55.0,65.0,61,0.9705539727581958,4.3819059492022916e-11,0.02944602719798517,0.9722387394140285,4.324152147461291e-11,0.027761260542729982,0.027761260542733424,0.0294460271979875,0.001684766655251746,1.0,1.0
15.004,TE,55.0,65.0,61,0.9705092645812172,4.385503071802077e-11,0.029490735374927746,0.9722061404620709,4.327416203153689e-11,0.02779385949465496,0.027793859494655737,0.029490735374927857,0.0016968758802720085,1.0,1.0
15.005,TE,55.0,65.0,61,0.9704643574342694,4.389122398862355e-11,0.029535642521839378,0.9721734523344013,4.330680258846087e-11,0.027826547622291864,0.02782654762225656,0.029535642521814176,0.0017090948995828192,1.0,1.0
15.006,TE,55.0,65.0,61,0.9704192495454821,4.392741725922633e-11,0.029580750410590495,0.9721406744856632,4.333944314538485e-11,0.027859325470997343,0.02785932547100678,0.02958075041059738,0.0017214249395837156,1.0,1.0
15.007,TE,55.0,65.0,61,0.9703739391215216,4.396361052982911e-11,0.0296260608345148,0.9721078063654223,4.337208370230883e-11,0.02789219359120565,0.02789219359121453,0.029626060834521017,0.0017338672433002689,1.0,1.0
15.008,TE,55.0,65.0,61,0.9703284243473635,4.3999914822734354e-11,0.029671575608636536,0.9720748474181885,4.340483528153527e-11,0.02792515253840666,0.027925152538386677,0.029671575608622547,0.0017464230702498584,1.0,1.0
15.009,TE,55.0,65.0,61,0.9702827033860268,4.4036219115639597e-11,0.029717296569936935,0.9720417970835127,4.343758686076171e-11,0.02795820287304973,0.027958202873027638,0.02971729656992128,0.0017590936969092974,1.0,1.0
